NDUFS3 NDUFAB1 
NDUFS3 MT-ND3 
NDUFS3 NDUFV1 
NDUFA12 NDUFB7 
NDUFA12 NDUFS7 
NDUFA12 NDUFB3 
NDUFA12 NDUFA2 
NDUFA12 NDUFB5 
NDUFA12 NDUFA9 
NDUFA12 NDUFB10 
NDUFA12 NDUFS6 
NDUFA12 NDUFB9 
NDUFA12 NDUFC2 
NDUFA12 NDUFS4 
NDUFA12 NDUFB8 
NDUFA12 NDUFS8 
NDUFA12 NDUFV1 
NDUFA12 NDUFV2 
NDUFA12 NDUFA5 
NDUFA12 NDUFA8 
NDUFA12 NDUFA13 
NDUFA12 NDUFB6 
NDUFA12 NDUFS1 
NDUFA12 NDUFC1 
NDUFA12 NDUFA6 
NDUFA12 NDUFAB1 
NDUFA12 NDUFA11 
NDUFB6 NDUFB7 
NDUFB6 NDUFS7 
NDUFB6 NDUFB3 
NDUFB6 NDUFA2 
NDUFB6 NDUFB5 
NDUFB6 NDUFA9 
NDUFB6 NDUFB10 
NDUFB6 NDUFS6 
NDUFB6 NDUFB11 
NDUFB6 NDUFB9 
NDUFB6 NDUFC2 
NDUFB6 NDUFS4 
NDUFB6 NDUFB8 
NDUFB6 NDUFS8 
NDUFB6 NDUFV1 
NDUFB6 NDUFV2 
NDUFB6 NDUFA1 
NDUFB6 NDUFA8 
NDUFB6 NDUFA13 
NDUFB6 NDUFA3 
NDUFB6 NDUFC1 
NDUFB6 NDUFB2 
NDUFB6 NDUFA6 
NDUFB6 NDUFAB1 
NDUFB6 NDUFA11 
NDUFC1 NDUFB3 
NDUFC1 NDUFA2 
NDUFC1 NDUFB5 
NDUFC1 NDUFB1 
NDUFC1 NDUFA6 
NDUFC1 NDUFB2 
NDUFC1 NDUFAB1 
NDUFS4 NDUFB7 
NDUFS4 NDUFS7 
NDUFS4 NDUFB3 
NDUFS4 NDUFA2 
NDUFS4 NDUFB5 
NDUFS4 NDUFA9 
